Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1996-09-02,0.642,0.642,0.642,0.642
1996-09-03,0.6402,0.6402,0.6402,0.6402
1996-09-04,0.6405,0.6405,0.6405,0.6405
1996-09-05,0.6402,0.6402,0.6402,0.6402
1996-09-06,0.64,0.64,0.64,0.64
1996-09-09,0.6372,0.6372,0.6372,0.6372
1996-09-10,0.634,0.634,0.634,0.634
1996-09-11,0.6326,0.6326,0.6326,0.6326
1996-09-12,0.6317,0.6317,0.6317,0.6317
1996-09-13,0.632,0.632,0.632,0.632
1996-09-16,0.6318,0.6318,0.6318,0.6318
1996-09-17,0.6324,0.6324,0.6324,0.6324
1996-09-18,0.6325,0.6325,0.6325,0.6325
1996-09-19,0.6316,0.6316,0.6316,0.6316
1996-09-20,0.6302,0.6302,0.6302,0.6302
1996-09-23,0.6302,0.6302,0.6302,0.6302
1996-09-24,0.6308,0.6308,0.6308,0.6308
1996-09-25,0.6325,0.6325,0.6325,0.6325
1996-09-26,0.6277,0.6277,0.6277,0.6277
1996-09-27,0.6284,0.6284,0.6284,0.6284
1996-09-30,0.6261,0.6261,0.6261,0.6261
1996-10-01,0.627,0.627,0.627,0.627
1996-10-02,0.626,0.626,0.626,0.626
1996-10-03,0.6255,0.6255,0.6255,0.6255
1996-10-04,0.6253,0.6253,0.6253,0.6253
1996-10-07,0.6257,0.6257,0.6257,0.6257
1996-10-08,0.6302,0.6302,0.6302,0.6302
1996-10-09,0.6295,0.6295,0.6295,0.6295
1996-10-10,0.6293,0.6293,0.6293,0.6293
1996-10-11,0.6288,0.6288,0.6288,0.6288
1996-10-14,0.6288,0.6288,0.6288,0.6288
1996-10-15,0.6274,0.6274,0.6274,0.6274
1996-10-16,0.6271,0.6271,0.6271,0.6271
1996-10-17,0.6258,0.6258,0.6258,0.6258
1996-10-18,0.6266,0.6266,0.6266,0.6266
1996-10-21,0.6279,0.6279,0.6279,0.6279
1996-10-22,0.6296,0.6296,0.6296,0.6296
1996-10-23,0.6317,0.6317,0.6317,0.6317
1996-10-24,0.6314,0.6314,0.6314,0.6314
1996-10-25,0.6319,0.6319,0.6319,0.6319
1996-10-28,0.6332,0.6332,0.6332,0.6332
1996-10-29,0.6383,0.6383,0.6383,0.6383
1996-10-30,0.6406,0.6406,0.6406,0.6406
1996-10-31,0.644,0.644,0.644,0.644
1996-11-04,0.6437,0.6437,0.6437,0.6437
1996-11-05,0.6529,0.6529,0.6529,0.6529
